candidate_id,fold,model,window,train_engine_count,validation_engine_count,validation_sample_count,RMSE,MAE,R2,NASA_total,NASA_mean,signed_bias_mean,training_time,parameters,notes,feature_count
rf_w60,1,rf,60,68,17,85,35.8323,29.3873,0.6478,42419.01,499.0472,11.059,89.6,n_estimators=300,variable-history features (observed cycles up to cutoff only),191
rf_w90,1,rf,90,68,17,85,29.1994,22.296,0.7662,10969.18,129.0492,7.3423,84.25,n_estimators=300,variable-history features (observed cycles up to cutoff only),191
rf_w90,2,rf,90,68,17,85,30.17,24.8592,0.6631,14743.19,173.4493,20.7532,90.32,n_estimators=300,variable-history features (observed cycles up to cutoff only),191
rf_w90,3,rf,90,68,17,85,31.9632,22.3859,0.6277,591482.01,6958.6119,13.5306,82.32,n_estimators=300,variable-history features (observed cycles up to cutoff only),191
rf_w90,4,rf,90,68,17,85,34.5474,26.7075,0.6381,35443.96,416.9877,15.551,86.76,n_estimators=300,variable-history features (observed cycles up to cutoff only),191
rf_w90,5,rf,90,68,17,85,29.8519,22.54,0.7063,30886.98,363.3762,13.2342,84.23,n_estimators=300,variable-history features (observed cycles up to cutoff only),191
xgb_w60_d6,1,xgboost,60,68,17,85,32.6317,26.7217,0.7079,11626.42,136.7814,12.2289,6.65,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines,191
xgb_w60_d6,2,xgboost,60,68,17,85,37.6196,33.5043,0.4762,12881.83,151.551,29.9423,3.13,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines,191
xgb_w60_d6,3,xgboost,60,68,17,85,33.5361,29.7788,0.5902,4042.08,47.5539,20.4793,4.45,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines,191
xgb_w60_d6,4,xgboost,60,68,17,85,38.4087,33.8912,0.5527,11369.22,133.7556,23.4525,4.43,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines,191
xgb_w60_d6,5,xgboost,60,68,17,85,34.1323,30.2637,0.616,7213.35,84.863,23.3201,6.04,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines,191
xgb_w90_d6,1,xgboost,90,68,17,85,26.0129,19.4458,0.8144,3874.46,45.5819,5.6633,7.4,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines,191
xgb_w90_d6,2,xgboost,90,68,17,85,30.7435,26.1132,0.6502,6294.04,74.0475,22.397,3.72,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines,191
