engine_id,full_lifetime,cutoff_cycle,true_raw_rul,fraction
3,179,45,134,0.25
3,179,81,98,0.45
3,179,116,63,0.65
3,179,143,36,0.8
3,179,170,9,0.95
6,188,47,141,0.25
6,188,85,103,0.45
6,188,122,66,0.65
6,188,150,38,0.8
6,188,179,9,0.95
7,259,65,194,0.25
7,259,117,142,0.45
7,259,168,91,0.65
7,259,207,52,0.8
7,259,246,13,0.95
8,150,38,112,0.25
8,150,68,82,0.45
8,150,98,52,0.65
8,150,120,30,0.8
8,150,142,8,0.95
10,222,56,166,0.25
10,222,100,122,0.45
10,222,144,78,0.65
10,222,178,44,0.8
10,222,211,11,0.95
17,276,69,207,0.25
17,276,124,152,0.45
17,276,179,97,0.65
17,276,221,55,0.8
17,276,262,14,0.95
24,147,37,110,0.25
24,147,66,81,0.45
24,147,96,51,0.65
24,147,118,29,0.8
24,147,140,7,0.95
26,199,50,149,0.25
26,199,90,109,0.45
26,199,129,70,0.65
26,199,159,40,0.8
26,199,189,10,0.95
41,216,54,162,0.25
41,216,97,119,0.45
41,216,140,76,0.65
41,216,173,43,0.8
41,216,205,11,0.95
45,158,40,118,0.25
45,158,71,87,0.45
45,158,103,55,0.65
45,158,126,32,0.8
45,158,150,8,0.95
52,213,53,160,0.25
52,213,96,117,0.45
52,213,138,75,0.65
52,213,170,43,0.8
52,213,202,11,0.95
56,275,69,206,0.25
56,275,124,151,0.45
56,275,179,96,0.65
56,275,220,55,0.8
56,275,261,14,0.95
62,180,45,135,0.25
62,180,81,99,0.45
62,180,117,63,0.65
62,180,144,36,0.8
62,180,171,9,0.95
73,213,53,160,0.25
73,213,96,117,0.45
73,213,138,75,0.65
73,213,170,43,0.8
73,213,202,11,0.95
87,178,44,134,0.25
87,178,80,98,0.45
87,178,116,62,0.65
87,178,142,36,0.8
87,178,169,9,0.95
90,154,38,116,0.25
90,154,69,85,0.45
90,154,100,54,0.65
90,154,123,31,0.8
90,154,146,8,0.95
91,135,34,101,0.25
91,135,61,74,0.45
91,135,88,47,0.65
91,135,108,27,0.8
91,135,128,7,0.95
