engine_id,full_lifetime,cutoff_cycle,true_raw_rul,fraction
3,307,77,230,0.25
3,307,138,169,0.45
3,307,200,107,0.65
3,307,246,61,0.8
3,307,292,15,0.95
5,193,48,145,0.25
5,193,87,106,0.45
5,193,125,68,0.65
5,193,154,39,0.8
5,193,183,10,0.95
6,331,83,248,0.25
6,331,149,182,0.45
6,331,215,116,0.65
6,331,265,66,0.8
6,331,314,17,0.95
11,301,75,226,0.25
11,301,135,166,0.45
11,301,196,105,0.65
11,301,241,60,0.8
11,301,286,15,0.95
13,256,64,192,0.25
13,256,115,141,0.45
13,256,166,90,0.65
13,256,205,51,0.8
13,256,243,13,0.95
16,184,46,138,0.25
16,184,83,101,0.45
16,184,120,64,0.65
16,184,147,37,0.8
16,184,175,9,0.95
28,202,50,152,0.25
28,202,91,111,0.45
28,202,131,71,0.65
28,202,162,40,0.8
28,202,192,10,0.95
31,263,66,197,0.25
31,263,118,145,0.45
31,263,171,92,0.65
31,263,210,53,0.8
31,263,250,13,0.95
43,223,56,167,0.25
43,223,100,123,0.45
43,223,145,78,0.65
43,223,178,45,0.8
43,223,212,11,0.95
47,375,94,281,0.25
47,375,169,206,0.45
47,375,244,131,0.65
47,375,300,75,0.8
47,375,356,19,0.95
53,304,76,228,0.25
53,304,137,167,0.45
53,304,198,106,0.65
53,304,243,61,0.8
53,304,289,15,0.95
67,167,42,125,0.25
67,167,75,92,0.45
67,167,109,58,0.65
67,167,134,33,0.8
67,167,159,8,0.95
80,305,76,229,0.25
80,305,137,168,0.45
80,305,198,107,0.65
80,305,244,61,0.8
80,305,290,15,0.95
82,197,49,148,0.25
82,197,89,108,0.45
82,197,128,69,0.65
82,197,158,39,0.8
82,197,187,10,0.95
96,270,68,202,0.25
96,270,122,148,0.45
96,270,176,94,0.65
96,270,216,54,0.8
96,270,256,14,0.95
99,167,42,125,0.25
99,167,75,92,0.45
99,167,109,58,0.65
99,167,134,33,0.8
99,167,159,8,0.95
101,260,65,195,0.25
101,260,117,143,0.45
101,260,169,91,0.65
101,260,208,52,0.8
101,260,247,13,0.95
106,266,66,200,0.25
106,266,120,146,0.45
106,266,173,93,0.65
106,266,213,53,0.8
106,266,253,13,0.95
107,183,46,137,0.25
107,183,82,101,0.45
107,183,119,64,0.65
107,183,146,37,0.8
107,183,174,9,0.95
120,177,44,133,0.25
120,177,80,97,0.45
120,177,115,62,0.65
120,177,142,35,0.8
120,177,168,9,0.95
133,489,122,367,0.25
133,489,220,269,0.45
133,489,318,171,0.65
133,489,391,98,0.8
133,489,465,24,0.95
135,149,37,112,0.25
135,149,67,82,0.45
135,149,97,52,0.65
135,149,119,30,0.8
135,149,142,7,0.95
150,149,37,112,0.25
150,149,67,82,0.45
150,149,97,52,0.65
150,149,119,30,0.8
150,149,142,7,0.95
182,205,51,154,0.25
182,205,92,113,0.45
182,205,133,72,0.65
182,205,164,41,0.8
182,205,195,10,0.95
185,259,65,194,0.25
185,259,117,142,0.45
185,259,168,91,0.65
185,259,207,52,0.8
185,259,246,13,0.95
188,254,64,190,0.25
188,254,114,140,0.45
188,254,165,89,0.65
188,254,203,51,0.8
188,254,241,13,0.95
194,145,36,109,0.25
194,145,65,80,0.45
194,145,94,51,0.65
194,145,116,29,0.8
194,145,138,7,0.95
201,378,94,284,0.25
201,378,170,208,0.45
201,378,246,132,0.65
201,378,302,76,0.8
201,378,359,19,0.95
204,211,53,158,0.25
204,211,95,116,0.45
204,211,137,74,0.65
204,211,169,42,0.8
204,211,200,11,0.95
210,167,42,125,0.25
210,167,75,92,0.45
210,167,109,58,0.65
210,167,134,33,0.8
210,167,159,8,0.95
218,236,59,177,0.25
218,236,106,130,0.45
218,236,153,83,0.65
218,236,189,47,0.8
218,236,224,12,0.95
221,274,68,206,0.25
221,274,123,151,0.45
221,274,178,96,0.65
221,274,219,55,0.8
221,274,260,14,0.95
223,247,62,185,0.25
223,247,111,136,0.45
223,247,161,86,0.65
223,247,198,49,0.8
223,247,235,12,0.95
227,287,72,215,0.25
227,287,129,158,0.45
227,287,187,100,0.65
227,287,230,57,0.8
227,287,273,14,0.95
231,194,48,146,0.25
231,194,87,107,0.45
231,194,126,68,0.65
231,194,155,39,0.8
231,194,184,10,0.95
234,207,52,155,0.25
234,207,93,114,0.45
234,207,135,72,0.65
234,207,166,41,0.8
234,207,197,10,0.95
249,255,64,191,0.25
249,255,115,140,0.45
249,255,166,89,0.65
249,255,204,51,0.8
249,255,242,13,0.95
