engine_id,full_lifetime,cutoff_cycle,true_raw_rul,fraction
3,307,154,153,0.5
3,307,200,107,0.65
3,307,246,61,0.8
3,307,276,31,0.9
3,307,292,15,0.95
5,193,96,97,0.5
5,193,125,68,0.65
5,193,154,39,0.8
5,193,174,19,0.9
5,193,183,10,0.95
6,331,166,165,0.5
6,331,215,116,0.65
6,331,265,66,0.8
6,331,298,33,0.9
6,331,314,17,0.95
11,301,150,151,0.5
11,301,196,105,0.65
11,301,241,60,0.8
11,301,271,30,0.9
11,301,286,15,0.95
13,256,128,128,0.5
13,256,166,90,0.65
13,256,205,51,0.8
13,256,230,26,0.9
13,256,243,13,0.95
16,184,92,92,0.5
16,184,120,64,0.65
16,184,147,37,0.8
16,184,166,18,0.9
16,184,175,9,0.95
28,202,101,101,0.5
28,202,131,71,0.65
28,202,162,40,0.8
28,202,182,20,0.9
28,202,192,10,0.95
31,263,132,131,0.5
31,263,171,92,0.65
31,263,210,53,0.8
31,263,237,26,0.9
31,263,250,13,0.95
43,223,112,111,0.5
43,223,145,78,0.65
43,223,178,45,0.8
43,223,201,22,0.9
43,223,212,11,0.95
47,375,188,187,0.5
47,375,244,131,0.65
47,375,300,75,0.8
47,375,338,37,0.9
47,375,356,19,0.95
53,304,152,152,0.5
53,304,198,106,0.65
53,304,243,61,0.8
53,304,274,30,0.9
53,304,289,15,0.95
67,167,84,83,0.5
67,167,109,58,0.65
67,167,134,33,0.8
67,167,150,17,0.9
67,167,159,8,0.95
80,305,152,153,0.5
80,305,198,107,0.65
80,305,244,61,0.8
80,305,274,31,0.9
80,305,290,15,0.95
82,197,98,99,0.5
82,197,128,69,0.65
82,197,158,39,0.8
82,197,177,20,0.9
82,197,187,10,0.95
96,270,135,135,0.5
96,270,176,94,0.65
96,270,216,54,0.8
96,270,243,27,0.9
96,270,256,14,0.95
99,167,84,83,0.5
99,167,109,58,0.65
99,167,134,33,0.8
99,167,150,17,0.9
99,167,159,8,0.95
101,260,130,130,0.5
101,260,169,91,0.65
101,260,208,52,0.8
101,260,234,26,0.9
101,260,247,13,0.95
106,266,133,133,0.5
106,266,173,93,0.65
106,266,213,53,0.8
106,266,239,27,0.9
106,266,253,13,0.95
107,183,92,91,0.5
107,183,119,64,0.65
107,183,146,37,0.8
107,183,165,18,0.9
107,183,174,9,0.95
120,177,88,89,0.5
120,177,115,62,0.65
120,177,142,35,0.8
120,177,159,18,0.9
120,177,168,9,0.95
133,489,244,245,0.5
133,489,318,171,0.65
133,489,391,98,0.8
133,489,440,49,0.9
133,489,465,24,0.95
135,149,74,75,0.5
135,149,97,52,0.65
135,149,119,30,0.8
135,149,134,15,0.9
135,149,142,7,0.95
150,149,74,75,0.5
150,149,97,52,0.65
150,149,119,30,0.8
150,149,134,15,0.9
150,149,142,7,0.95
182,205,102,103,0.5
182,205,133,72,0.65
182,205,164,41,0.8
182,205,184,21,0.9
182,205,195,10,0.95
185,259,130,129,0.5
185,259,168,91,0.65
185,259,207,52,0.8
185,259,233,26,0.9
185,259,246,13,0.95
188,254,127,127,0.5
188,254,165,89,0.65
188,254,203,51,0.8
188,254,229,25,0.9
188,254,241,13,0.95
194,145,72,73,0.5
194,145,94,51,0.65
194,145,116,29,0.8
194,145,130,15,0.9
194,145,138,7,0.95
201,378,189,189,0.5
201,378,246,132,0.65
201,378,302,76,0.8
201,378,340,38,0.9
201,378,359,19,0.95
204,211,106,105,0.5
204,211,137,74,0.65
204,211,169,42,0.8
204,211,190,21,0.9
204,211,200,11,0.95
210,167,84,83,0.5
210,167,109,58,0.65
210,167,134,33,0.8
210,167,150,17,0.9
210,167,159,8,0.95
218,236,118,118,0.5
218,236,153,83,0.65
218,236,189,47,0.8
218,236,212,24,0.9
218,236,224,12,0.95
221,274,137,137,0.5
221,274,178,96,0.65
221,274,219,55,0.8
221,274,247,27,0.9
221,274,260,14,0.95
223,247,124,123,0.5
223,247,161,86,0.65
223,247,198,49,0.8
223,247,222,25,0.9
223,247,235,12,0.95
227,287,144,143,0.5
227,287,187,100,0.65
227,287,230,57,0.8
227,287,258,29,0.9
227,287,273,14,0.95
231,194,97,97,0.5
231,194,126,68,0.65
231,194,155,39,0.8
231,194,175,19,0.9
231,194,184,10,0.95
234,207,104,103,0.5
234,207,135,72,0.65
234,207,166,41,0.8
234,207,186,21,0.9
234,207,197,10,0.95
249,255,128,127,0.5
249,255,166,89,0.65
249,255,204,51,0.8
249,255,230,25,0.9
249,255,242,13,0.95
