candidate_id,fold,inner_seed,best_epoch,best_iteration
gru_w45_huber,1,4201.0,20.0,
gru_w45_huber,2,4202.0,18.0,
gru_w45_huber,3,4203.0,15.0,
gru_w45_huber,4,4204.0,13.0,
gru_w45_huber,5,4205.0,12.0,
gru_w60_huber,1,4201.0,17.0,
gru_w60_huber,2,4202.0,16.0,
gru_w60_huber,3,4203.0,12.0,
gru_w60_huber,4,4204.0,14.0,
gru_w60_huber,5,4205.0,12.0,
lstm_w45_huber,1,4201.0,16.0,
lstm_w45_huber,2,4202.0,10.0,
lstm_w45_huber,3,4203.0,11.0,
lstm_w45_huber,4,4204.0,14.0,
lstm_w45_huber,5,4205.0,11.0,
lstm_w60_huber,1,4201.0,18.0,
lstm_w60_huber,2,4202.0,11.0,
lstm_w60_huber,3,4203.0,12.0,
lstm_w60_huber,4,4204.0,16.0,
lstm_w60_huber,5,4205.0,15.0,
rf_w60,1,,,
rf_w60,2,,,
rf_w60,3,,,
rf_w60,4,,,
rf_w60,5,,,
rf_w90,1,,,
rf_w90,2,,,
rf_w90,3,,,
rf_w90,4,,,
rf_w90,5,,,
xgb_w60_d6,1,4201.0,,93.0
xgb_w60_d6,2,4202.0,,75.0
xgb_w60_d6,3,4203.0,,178.0
xgb_w60_d6,4,4204.0,,148.0
xgb_w60_d6,5,4205.0,,66.0
xgb_w90_d6,1,4201.0,,100.0
xgb_w90_d6,2,4202.0,,91.0
xgb_w90_d6,3,4203.0,,69.0
xgb_w90_d6,4,4204.0,,97.0
xgb_w90_d6,5,4205.0,,53.0
