experiment_id,model,window,seed,validation_sample_count,RMSE,MAE,R2,NASA_total,NASA_mean,training_time,feature_count,parameters,notes
m1_mean_w30_s42,mean,30,42,75,66.4456,57.9876,-1.8811,311676.45,4155.686,0.28,0,none,constant prediction = mean of train raw-RUL targets
m1_linear_w30_s42,linear,30,42,75,465.9514,421.2023,-140.6791,1.396387126953217e+33,1.8618495026042892e+31,2.37,191,ols,variable-history features (observed cycles up to cutoff only)
m1_rf_w30_s42,rf,30,42,75,30.3309,23.3108,0.3997,5705.15,76.0687,219.27,191,n_estimators=300,variable-history features (observed cycles up to cutoff only)
m1_xgboost_w30_s42,xgboost,30,42,75,33.4536,28.1235,0.2697,7008.35,93.4447,12.75,191,"n_estimators=500,depth=6,lr=0.05,es=30",variable-history features (observed cycles up to cutoff only)
m1_lstm_w30_s42,lstm,30,42,75,24.347,17.3836,0.6132,3738.36,49.8448,760.45,21,layers=m1_lstm;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_gru_w30_s42,gru,30,42,75,24.6556,16.7053,0.6033,24537.64,327.1685,317.48,21,layers=m1_gru;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_tcn_w30_s42,tcn,30,42,75,32.5182,26.536,0.31,9144.73,121.9297,112.77,21,layers=m1_tcn;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_mean_w15_s42,mean,15,42,75,66.4456,57.9876,-1.8811,311676.45,4155.686,0.0,0,none,constant prediction = mean of train raw-RUL targets
m1_linear_w15_s42,linear,15,42,75,694.0834,643.5889,-313.3749,8.57677973373805e+45,1.1435706311650734e+44,0.85,191,ols,variable-history features (observed cycles up to cutoff only)
m1_rf_w15_s42,rf,15,42,75,43.507,37.2797,-0.2352,17635.53,235.1403,110.43,191,n_estimators=300,variable-history features (observed cycles up to cutoff only)
m1_xgboost_w15_s42,xgboost,15,42,75,36.3468,30.7114,0.1379,19974.42,266.3256,7.22,191,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines
m1_mean_w45_s42,mean,45,42,75,66.4456,57.9876,-1.8811,311676.45,4155.686,0.0,0,none,constant prediction = mean of train raw-RUL targets
m1_linear_w45_s42,linear,45,42,75,295.4514,260.3543,-55.9635,1.5615267336279711e+22,2.082035644837295e+20,0.24,191,ols,variable-history features (observed cycles up to cutoff only)
m1_rf_w45_s42,rf,45,42,75,38.3255,34.7843,0.0415,7201.77,96.0237,90.46,191,n_estimators=300,variable-history features (observed cycles up to cutoff only)
m1_xgboost_w45_s42,xgboost,45,42,75,41.1446,37.8439,-0.1047,8485.28,113.1371,6.57,191,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines
m1_mean_w60_s42,mean,60,42,75,66.4456,57.9876,-1.8811,311676.45,4155.686,0.0,0,none,constant prediction = mean of train raw-RUL targets
m1_linear_w60_s42,linear,60,42,75,187.1596,160.2276,-21.8586,539389164627133.7,7191855528361.782,1.9,191,ols,variable-history features (observed cycles up to cutoff only)
m1_rf_w60_s42,rf,60,42,75,32.2129,29.015,0.3229,4625.75,61.6766,82.34,191,n_estimators=300,variable-history features (observed cycles up to cutoff only)
m1_xgboost_w60_s42,xgboost,60,42,75,34.0631,31.0175,0.2428,3808.55,50.7807,7.98,191,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines
m1_mean_w90_s42,mean,90,42,75,66.4456,57.9876,-1.8811,311676.45,4155.686,0.0,0,none,constant prediction = mean of train raw-RUL targets
m1_linear_w90_s42,linear,90,42,75,90.4391,74.2357,-4.3375,53408730.58,712116.4077,0.19,191,ols,variable-history features (observed cycles up to cutoff only)
m1_rf_w90_s42,rf,90,42,75,18.5455,16.7062,0.7756,455.7,6.076,82.02,191,n_estimators=300,variable-history features (observed cycles up to cutoff only)
m1_xgboost_w90_s42,xgboost,90,42,75,19.8144,17.3038,0.7438,531.59,7.0879,6.06,191,"n_estimators=500,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines
m1_lstm_w15_s42,lstm,15,42,75,28.6403,20.4701,0.4647,20696.3,275.9506,123.41,21,m1_lstm;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_gru_w15_s42,gru,15,42,75,29.533,20.0132,0.4308,25281.86,337.0914,183.27,21,m1_gru;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_tcn_w15_s42,tcn,15,42,75,31.7177,23.8334,0.3435,12775.97,170.3463,69.26,21,m1_tcn;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_lstm_w45_s42,lstm,45,42,75,15.7506,11.0837,0.8381,568.97,7.5863,372.75,21,m1_lstm;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_gru_w45_s42,gru,45,42,75,14.8546,10.8769,0.856,396.61,5.2881,233.41,21,m1_gru;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_tcn_w45_s42,tcn,45,42,75,32.4062,24.2891,0.3147,17288.07,230.5077,219.25,21,m1_tcn;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_xgboost_w30_max_depth3_s42,xgboost,30,42,75,41.9318,36.048,-0.1474,27806.71,370.7562,1.63,191,"n_estimators=500,max_depth=3,lr=0.05,es=30",variable-history features; early stopping on validation engines
m1_xgboost_w30_max_depth9_s42,xgboost,30,42,75,30.7811,25.2976,0.3817,4557.69,60.7692,17.86,191,"n_estimators=500,max_depth=9,lr=0.05,es=30",variable-history features; early stopping on validation engines
m1_xgboost_w30_n_estimators300_s42,xgboost,30,42,75,33.4536,28.1235,0.2697,7008.35,93.4447,5.11,191,"n_estimators=300,max_depth=6,lr=0.05,es=30",variable-history features; early stopping on validation engines
m1_lstm_w30_dropout0.2_s42,lstm,30,42,75,49.6322,35.3277,-0.6075,492227.73,6563.0365,125.24,21,m1_lstm;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_lstm_w30_dropout0.4_s42,lstm,30,42,75,48.36,33.4431,-0.5261,362266.63,4830.2217,129.54,21,m1_lstm;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_lstm_w30_losshuber_s42,lstm,30,42,75,21.3113,14.0671,0.7036,4383.54,58.4473,189.67,21,m1_lstm;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_lstm_w60_s42,lstm,60,42,75,13.9779,9.9796,0.8725,240.21,3.2028,633.1,21,m1_lstm;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_gru_w60_s42,gru,60,42,75,13.8851,10.9657,0.8742,269.34,3.5912,324.66,21,m1_gru;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_tcn_w60_s42,tcn,60,42,75,27.1534,21.7953,0.5189,3653.21,48.7095,247.16,21,m1_tcn;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_lstm_w90_s42,lstm,90,42,75,17.0077,11.9593,0.8112,519.65,6.9287,734.68,21,m1_lstm;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_gru_w90_s42,gru,90,42,75,17.3481,13.6848,0.8036,513.45,6.846,427.61,21,m1_gru;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_tcn_w90_s42,tcn,90,42,75,28.7449,24.5246,0.4608,2133.08,28.441,339.67,21,m1_tcn;loss=mse;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_xgboost_w90_max_depth9_s42,xgboost,90,42,75,21.3952,19.2712,0.7013,647.32,8.6309,23.68,191,"n_estimators=500,max_depth=9,lr=0.05,es=30",variable-history features; early stopping on validation engines
m1_lstm_w45_losshuber_s42,lstm,45,42,75,15.1498,11.0447,0.8502,308.59,4.1145,340.51,21,m1_lstm;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_gru_w45_losshuber_s42,gru,45,42,75,13.7406,9.6908,0.8768,200.01,2.6668,339.09,21,m1_gru;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
m1_gru_w60_losshuber_s42,gru,60,42,75,14.2016,9.3693,0.8684,747.2,9.9627,761.62,21,m1_gru;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets
