sensor,mean_abs_delta,rmse_delta,overprediction_worsened_share,overprediction_share_among_dangerous
sensor_4,16.9769,16.4862,0.9718,0.8424
sensor_11,14.1792,13.4059,0.9224,0.7929
sensor_3,10.459,9.1832,0.9576,0.8329
sensor_9,10.3496,10.066,0.9529,0.8306
sensor_12,10.2901,9.4516,0.9082,0.8141
sensor_7,9.234,8.1644,0.9435,0.8259
sensor_20,7.4874,6.1219,0.9812,0.8424
sensor_21,6.6323,5.7512,0.8871,0.7835
sensor_15,5.8728,5.589,0.9129,0.8024
sensor_2,4.6308,4.3057,0.7129,0.6541
sensor_14,4.055,3.9036,0.7153,0.6235
sensor_17,3.734,3.7773,0.8659,0.7647
sensor_8,2.9236,2.1277,0.8988,0.7765
sensor_13,2.5223,1.827,0.7529,0.6682
sensor_6,0.2502,0.0503,0.0141,0.0141
sensor_5,0.0,0.0,0.0,0.0
sensor_1,0.0,0.0,0.0,0.0
sensor_10,0.0,0.0,0.0,0.0
sensor_16,0.0,0.0,0.0,0.0
sensor_19,0.0,0.0,0.0,0.0
sensor_18,0.0,0.0,0.0,0.0
