sensor,fraction,mean_abs_delta,mean_delta
sensor_1,0.25,0.0,0.0
sensor_1,0.45,0.0,0.0
sensor_1,0.65,0.0,0.0
sensor_1,0.8,0.0,0.0
sensor_1,0.95,0.0,0.0
sensor_2,0.25,2.5663,0.1343
sensor_2,0.45,2.2511,1.3335
sensor_2,0.65,2.6481,1.8697
sensor_2,0.8,4.4286,3.9517
sensor_2,0.95,11.26,11.26
sensor_3,0.25,8.3857,6.7874
sensor_3,0.45,10.8254,10.6913
sensor_3,0.65,11.1176,11.1176
sensor_3,0.8,11.4768,11.4768
sensor_3,0.95,10.4894,10.4894
sensor_4,0.25,9.8472,9.1838
sensor_4,0.45,16.1212,16.1212
sensor_4,0.65,13.7997,13.7997
sensor_4,0.8,17.7044,17.7044
sensor_4,0.95,27.4121,27.4121
sensor_5,0.25,0.0,0.0
sensor_5,0.45,0.0,0.0
sensor_5,0.65,0.0,0.0
sensor_5,0.8,0.0,0.0
sensor_5,0.95,0.0,0.0
sensor_6,0.25,0.965,-0.9559
sensor_6,0.45,0.2326,-0.1941
sensor_6,0.65,0.0413,-0.034
sensor_6,0.8,0.008,-0.0007
sensor_6,0.95,0.0043,-0.0043
sensor_7,0.25,12.0914,10.7196
sensor_7,0.45,12.2696,11.8901
sensor_7,0.65,10.9617,10.9122
sensor_7,0.8,6.4453,6.4128
sensor_7,0.95,4.4019,4.4019
sensor_8,0.25,3.6102,2.9306
sensor_8,0.45,3.3074,2.8827
sensor_8,0.65,3.4955,3.3962
sensor_8,0.8,2.366,2.3342
sensor_8,0.95,1.8389,1.8389
sensor_9,0.25,10.9997,9.917
sensor_9,0.45,11.0885,10.9244
sensor_9,0.65,10.7598,10.718
sensor_9,0.8,10.9061,10.9061
sensor_9,0.95,7.9938,7.9938
sensor_10,0.25,0.0,0.0
sensor_10,0.45,0.0,0.0
sensor_10,0.65,0.0,0.0
sensor_10,0.8,0.0,0.0
sensor_10,0.95,0.0,0.0
sensor_11,0.25,11.5316,10.6741
sensor_11,0.45,12.0862,10.8817
sensor_11,0.65,12.5697,12.224
sensor_11,0.8,13.9084,13.8869
sensor_11,0.95,20.7998,20.7998
sensor_12,0.25,7.594,3.0461
sensor_12,0.45,10.3623,10.097
sensor_12,0.65,11.3173,11.3173
sensor_12,0.8,10.0832,10.0832
sensor_12,0.95,12.0936,12.0936
sensor_13,0.25,3.3883,2.5136
sensor_13,0.45,4.4363,3.9399
sensor_13,0.65,1.9439,1.7935
sensor_13,0.8,1.7676,1.7248
sensor_13,0.95,1.0753,1.0753
sensor_14,0.25,3.4355,1.1825
sensor_14,0.45,3.5498,2.6841
sensor_14,0.65,5.9723,5.5414
sensor_14,0.8,4.6123,4.4148
sensor_14,0.95,2.7054,2.5356
sensor_15,0.25,3.555,2.8146
sensor_15,0.45,2.8791,2.4119
sensor_15,0.65,5.947,5.924
sensor_15,0.8,8.001,8.001
sensor_15,0.95,8.9819,8.9819
sensor_16,0.25,0.0,0.0
sensor_16,0.45,0.0,0.0
sensor_16,0.65,0.0,0.0
sensor_16,0.8,0.0,0.0
sensor_16,0.95,0.0,0.0
sensor_17,0.25,2.0513,1.4416
sensor_17,0.45,2.5276,2.3503
sensor_17,0.65,2.0656,2.0402
sensor_17,0.8,3.4487,3.4436
sensor_17,0.95,8.5768,8.5768
sensor_18,0.25,0.0,0.0
sensor_18,0.45,0.0,0.0
sensor_18,0.65,0.0,0.0
sensor_18,0.8,0.0,0.0
sensor_18,0.95,0.0,0.0
sensor_19,0.25,0.0,0.0
sensor_19,0.45,0.0,0.0
sensor_19,0.65,0.0,0.0
sensor_19,0.8,0.0,0.0
sensor_19,0.95,0.0,0.0
sensor_20,0.25,8.3785,8.2229
sensor_20,0.45,9.8614,9.8131
sensor_20,0.65,8.9101,8.9059
sensor_20,0.8,5.3372,5.3372
sensor_20,0.95,4.9497,4.9497
sensor_21,0.25,4.1182,2.7273
sensor_21,0.45,7.5552,6.7029
sensor_21,0.65,5.3739,5.0169
sensor_21,0.8,6.4294,6.4294
sensor_21,0.95,9.6846,9.6846
